Program_Name,School,School_Type,Community_Of_Schools,Zip_Code,Dual_Language,Applications,Seat_Offers
Dr Sammy Lee Elementary Medical and Health Science Magnet,Dr Sammy Lee Elementary Medical and Health Science Magnet,MAGNET-SELF CONTAINED (ELEM),DOWNTOWN COS,90004,Yes,42,9
Willow Elementary DL Two-Way Im Spanish,Willow Elementary,DUAL LANGUAGE (DLC) - ELEM,SOUTH GATE COS,90280,No,43,3
Willow Elementary DL Two-Way Im Spanish,Willow Elementary,DUAL LANGUAGE (DLC) - ELEM,SOUTH GATE COS,90280,Yes,47,4
Barton Hill Elementary Maritime STEAM Magnet,Barton Hill Elementary,MAGNET CENTER - ELEMENTARY,SAN PEDRO COS,90731,No,101,20
Barton Hill Elementary Maritime STEAM Magnet,Barton Hill Elementary,MAGNET CENTER - ELEMENTARY,SAN PEDRO COS,90731,Yes,4,0
Beethoven Street Elementary,Beethoven Street Elementary,ELEMENTARY SCHOOL,VENICE COS,90066,No,82,9
Beethoven Street Elementary,Beethoven Street Elementary,ELEMENTARY SCHOOL,VENICE COS,90066,Yes,5,0
RFK Comm Schls - Ambassador Sch - Glbl Ed DL One-Way Im Span,RFK Comm Schls - Ambassador School - Global Education,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90005,No,35,6
RFK Comm Schls - Ambassador Sch - Glbl Ed DL One-Way Im Span,RFK Comm Schls - Ambassador School - Global Education,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90005,Yes,41,5
RFK Comm Schls - Ambassador Sch - Glbl Ed DL Two-Way Im Kor,RFK Comm Schls - Ambassador School - Global Education,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90005,No,21,3
RFK Comm Schls - Ambassador Sch - Glbl Ed DL Two-Way Im Kor,RFK Comm Schls - Ambassador School - Global Education,DUAL LANGUAGE (DLC) - ELEM,KTOWN/PICOUNION COS,90005,Yes,13,1
Ellen Ochoa Learning Center,Ellen Ochoa Learning Center,SPAN SCHOOL,BELL/CUDHY/MAYWD COS,90201,No,15,0
