"ApplyCostCenterCode","ApplyProgramLocationCode","ApplyProgramName","ApplySchoolLocationCode","ApplySchool","ApplyCDSCode","ApplySchoolType","ApplyBoardDistrict","ApplyLocalDistrict","ApplyCommunityOfSchools","ApplyZipCode","ApplicantZipCode","Applications","SeatOffers","PropOfTotalApps","PropOfTotalSeatOffers"
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90020",1,0,0.0152,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90037",1,0,0.0152,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90044",1,0,0.0152,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"91335",2,0,0.0303,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"90004",22,0,0.7857,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"90011",1,0,0.0357,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"90016",1,0,0.0357,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"90020",1,0,0.0357,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"90063",1,0,0.0357,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"91356",1,0,0.0357,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"91387",1,0,0.0357,0
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"90001",2,0,0.0143,0
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"90004",1,1,0.0071,0.0303
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"90006",5,1,0.0357,0.0303
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"90007",1,1,0.0071,0.0303
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"90011",3,1,0.0214,0.0303
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"90017",1,0,0.0071,0
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"90018",1,1,0.0071,0.0303
